score,value
0.0,0.5
0.01,0.5039893563146316
0.02,0.5079783137169019
0.03,0.5119664734141126
0.04,0.5159534368528308
0.05,0.5199388058383725
0.06,0.5239221826541068
0.07,0.5279031701805211
0.08,0.5318813720139873
0.09,0.5358563925851721
0.1,0.539827837277029
0.11,0.5437953125423168
0.12,0.5477584260205839
0.13,0.5517167866545611
0.14,0.5556700048059064
0.15,0.5596176923702425
0.16,0.5635594628914329
0.17,0.5674949316750384
0.18,0.5714237159009007
0.19,0.5753454347347955
0.2,0.579259709439103
0.21,0.5831661634824423
0.22,0.5870644226482146
0.23,0.5909541151420059
0.24,0.5948348716977958
0.25,0.5987063256829237
0.26,0.6025681132017605
0.27,0.6064198731980395
0.28,0.6102612475557972
0.29,0.6140918811988774
0.3,0.6179114221889526
0.31,0.6217195218220193
0.32,0.6255158347233201
0.33,0.6293000189406535
0.34,0.6330717360360281
0.35,0.636830651175619
0.36,0.6405764332179913
0.37,0.6443087548005467
0.38,0.6480272924241628
0.39,0.6517317265359823
0.4,0.6554217416103242
0.41,0.6590970262276774
0.42,0.6627572731517505
0.43,0.6664021794045423
0.44,0.6700314463394064
0.45,0.6736447797120799
0.46,0.6772418897496523
0.47,0.6808224912174441
0.48,0.6843863034837774
0.49,0.6879330505826095
0.5,0.6914624612740131
0.51,0.6949742691024806
0.52,0.6984682124530338
0.53,0.7019440346051236
0.54,0.7054014837843019
0.55,0.7088403132116536
0.56,0.712260281150973
0.57,0.7156611509536759
0.58,0.7190426911014356
0.59,0.7224046752465351
0.6,0.7257468822499265
0.61,0.7290690962169943
0.62,0.732371106531017
0.63,0.7356527078843225
0.64,0.7389137003071384
0.65,0.7421538891941353
0.66,0.7453730853286639
0.67,0.7485711049046899
0.68,0.7517477695464294
0.69,0.7549029063256905
0.7,0.758036347776927
0.71,0.7611479319100132
0.72,0.7642375022207488
0.73,0.7673049076991025
0.74,0.7703500028352094
0.75,0.7733726476231317
0.76,0.7763727075624005
0.77,0.7793500536573503
0.78,0.7823045624142668
0.79,0.7852361158363629
0.8,0.7881446014166034
0.81,0.7910299121283983
0.82,0.7938919464141869
0.83,0.7967306081719316
0.84,0.7995458067395502
0.85,0.8023374568773076
0.86,0.8051054787481916
0.87,0.8078497978963037
0.88,0.8105703452232879
0.89,0.8132670569628273
0.9,0.8159398746532405
0.91,0.8185887451082028
0.92,0.8212136203856283
0.93,0.823814457754742
0.94,0.8263912196613754
0.95,0.8289438736915182
0.96,0.8314723925331622
0.97,0.8339767539364704
0.98,0.8364569406723077
0.99,0.8389129404891691
1.0,0.8413447460685429
1.01,0.8437523549787453
1.02,0.8461357696272651
1.03,0.8484949972116562
1.04,0.8508300496690185
1.05,0.853140943624104
1.06,0.8554277003360904
1.07,0.8576903456440608
1.08,0.8599289099112309
1.09,0.8621434279679645
1.1,0.8643339390536173
1.11,0.8665004867572528
1.12,0.8686431189572692
1.13,0.8707618877599821
1.14,0.8728568494372018
1.15,0.8749280643628496
1.16,0.8769755969486566
1.17,0.8789995155789818
1.18,0.8809998925447993
1.19,0.8829768039768913
1.2,0.8849303297782917
1.21,0.8868605535560227
1.22,0.8887675625521654
1.23,0.890651447574308
1.24,0.8925123029254131
1.25,0.8943502263331446
1.26,0.8961653188786995
1.27,0.8979576849251809
1.28,0.8997274320455579
1.29,0.9014746709502521
1.3,0.9031995154143897
1.31,0.9049020822047609
1.32,0.9065824910065282
1.33,0.9082408643497192
1.34,0.9098773275355475
1.35,0.9114920085625979
1.36,0.913085038052915
1.37,0.914656549178033
1.38,0.9162066775849858
1.39,0.917735561322331
1.4,0.9192433407662289
1.41,0.9207301585466076
1.42,0.9221961594734536
1.43,0.9236414904632608
1.44,0.925066300465673
1.45,0.9264707403903516
1.46,0.9278549630341062
1.47,0.9292191230083144
1.48,0.9305633766666683
1.49,0.9318878820332746
1.5,0.9331927987311419
1.51,0.9344782879110836
1.52,0.9357445121810641
1.53,0.9369916355360215
1.54,0.9382198232881881
1.55,0.939429241997941
1.56,0.940620059405207
1.57,0.9417924443614469
1.58,0.9429465667622458
1.59,0.9440825974805305
1.6,0.945200708300442
1.61,0.9463010718518803
1.62,0.9473838615457479
1.63,0.9484492515099106
1.64,0.9494974165258963
1.65,0.9505285319663519
1.66,0.9515427737332771
1.67,0.9525403181970526
1.68,0.9535213421362799
1.69,0.9544860226784502
1.7,0.955434537241457
1.71,0.956367063475968
1.72,0.957283779208671
1.73,0.9581848623864051
1.74,0.9590704910211927
1.75,0.9599408431361829
1.76,0.9607960967125173
1.77,0.9616364296371287
1.78,0.9624620196514833
1.79,0.9632730443012737
1.8,0.9640696808870741
1.81,0.9648521064159612
1.82,0.9656204975541101
1.83,0.9663750305803717
1.84,0.9671158813408361
1.85,0.9678432252043863
1.86,0.9685572370192472
1.87,0.969258091070534
1.88,0.9699459610388002
1.89,0.9706210199595906
1.9,0.9712834401839983
1.91,0.9719333933402274
1.92,0.9725710502961631
1.93,0.973196581122945
1.94,0.9738101550595473
1.95,0.9744119404783613
1.96,0.9750021048517796
1.97,0.9755808147197774
1.98,0.9761482356584914
1.99,0.9767045322497881
2.0,0.9772498680518208
2.01,0.9777844055705684
2.02,0.9783083062323532
2.03,0.9788217303573277
2.04,0.9793248371339299
2.05,0.9798177845942956
2.06,0.9803007295906231
2.07,0.9807738277724827
2.08,0.9812372335650623
2.09,0.981691100148341
2.1,0.9821355794371834
2.11,0.9825708220623429
2.12,0.9829969773523672
2.13,0.9834141933163949
2.14,0.9838226166278339
2.15,0.9842223926089095
2.16,0.9846136652160745
2.17,0.9849965770262679
2.18,0.9853712692240107
2.19,0.9857378815893312
2.2,0.9860965524865014
2.21,0.98644741885358
2.22,0.9867906161927438
2.23,0.9871262785613979
2.24,0.9874545385640534
2.25,0.9877755273449553
2.26,0.988089374581453
2.27,0.9883962084780964
2.28,0.9886961557614472
2.29,0.9889893416755886
2.3,0.9892758899783242
2.31,0.9895559229380488
2.32,0.9898295613312803
2.33,0.9900969244408357
2.34,0.9903581300546417
2.35,0.9906132944651614
2.36,0.9908625324694273
2.37,0.9911059573696632
2.38,0.9913436809744834
2.39,0.9915758136006543
2.4,0.9918024640754038
2.41,0.9920237397392663
2.42,0.9922397464494463
2.43,0.9924505885836907
2.44,0.9926563690446517
2.45,0.9928571892647287
2.46,0.9930531492113757
2.47,0.9932443473928594
2.48,0.9934308808644532
2.49,0.9936128452350568
2.5,0.9937903346742238
2.51,0.9939634419195873
2.52,0.9941322582846674
2.53,0.9942968736670492
2.54,0.9944573765569173
2.55,0.9946138540459333
2.56,0.9947663918364442
2.57,0.9949150742510089
2.58,0.9950599842422294
2.59,0.9952012034028739
2.6,0.9953388119762813
2.61,0.9954728888670327
2.62,0.9956035116518787
2.63,0.9957307565909106
2.64,0.995854698638964
2.65,0.9959754114572417
2.66,0.9960929674251473
2.67,0.9962074376523145
2.68,0.996318891990825
2.69,0.9964273990476002
2.7,0.9965330261969594
2.71,0.9966358395933308
2.72,0.9967359041841086
2.73,0.9968332837226421
2.74,0.9969280407813494
2.75,0.9970202367649454
2.76,0.9971099319237738
2.77,0.997197185367235
2.78,0.9972820550772987
2.79,0.9973645979220951
2.8,0.9974448696695721
2.81,0.9975229250012141
2.82,0.9975988175258108
2.83,0.9976725997932685
2.84,0.9977443233084577
2.85,0.9978140385450868
2.86,0.9978817949595954
2.87,0.9979476410050603
2.88,0.9980116241451057
2.89,0.9980737908678121
2.9,0.998134186699616
2.91,0.9981928562191935
2.92,0.9982498430713239
2.93,0.9983051899807227
2.94,0.9983589387658429
2.95,0.9984111303526351
2.96,0.998461804788262
2.97,0.9985110012547626
2.98,0.99855875808266
2.99,0.9986051127645077
3.0,0.9986501019683699
3.01,0.9986937615512306
3.02,0.9987361265723277
3.03,0.9987772313064077
3.04,0.9988171092568956
3.05,0.9988557931689773
3.06,0.9988933150425907
3.07,0.9989297061453211
3.08,0.9989649970251971
3.09,0.9989992175233859
3.1,0.9990323967867816
3.11,0.9990645632804859
3.12,0.9990957448001776
3.13,0.9991259684843684
3.14,0.9991552608265414
3.15,0.9991836476871714
3.16,0.9992111543056243
3.17,0.9992378053119327
3.18,0.9992636247384461
3.19,0.9992886360313546
3.2,0.9993128620620841
3.21,0.9993363251385601
3.22,0.9993590470163399
3.23,0.9993810489096131
3.24,0.9994023515020656
3.25,0.9994229749576092
3.26,0.9994429389309754
3.27,0.9994622625781703
3.28,0.999480964566793
3.29,0.9994990630862143
3.3,0.9995165758576162
3.31,0.9995335201438924
3.32,0.9995499127594079
3.33,0.9995657700796183
3.34,0.9995811080505497
3.35,0.999595942198136
3.36,0.999610287637418
3.37,0.9996241590816
3.38,0.9996375708509669
3.39,0.999650536881662
3.4,0.9996630707343231
3.41,0.9996751856025812
3.42,0.9996868943214188
3.43,0.9996982093753914
3.44,0.9997091429067093
3.45,0.9997197067231838
3.46,0.9997299123060366
3.47,0.9997397708175726
3.48,0.9997492931087195
3.49,0.9997584897264322
3.5,0.9997673709209645
3.51,0.999775946653009
3.52,0.9997842266007053
3.53,0.9997922201665194
3.54,0.9997999364839927
3.55,0.9998073844243643
3.56,0.9998145726030667
3.57,0.9998215093860952
3.58,0.9998282028962541
3.59,0.9998346610192799
3.6,0.9998408914098424
3.61,0.9998469014974263
3.62,0.9998526984920926
3.63,0.9998582893901242
3.64,0.9998636809795542
3.65,0.9998688798455795
3.66,0.9998738923758614
3.67,0.9998787247657146
3.68,0.9998833830231846
3.69,0.9998878729740177
3.7,0.9998922002665226
3.71,0.999896370376326
3.72,0.999900388611024
3.73,0.9999042601147311
3.74,0.9999079898725258
3.75,0.9999115827147992
3.76,0.999915043321502
3.77,0.9999183762262973
3.78,0.9999215858206164
3.79,0.9999246763576213
3.8,0.9999276519560749
3.81,0.9999305166041201
3.82,0.9999332741629703
3.83,0.9999359283705112
3.84,0.9999384828448168
3.85,0.999940941087581
3.86,0.9999433064874658
3.87,0.9999455823233663
3.88,0.9999477717675982
3.89,0.9999498778890038
3.9,0.9999519036559824
3.91,0.9999538519394437
3.92,0.9999557255156879
3.93,0.9999575270692113
3.94,0.9999592591954414
3.95,0.9999609244034022
3.96,0.9999625251183089
3.97,0.9999640636840972
3.98,0.999965542365885
3.99,0.9999669633523707
